DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT11,2018,32.23,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT12,2018,331.93,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT13,2018,1.32,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT21,2018,25.29,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT22,2018,41.63,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT31,2018,254.93,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT32,2018,2.36,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT33,2018,1.21,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,AT34,2018,0.13,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE10,2018,1.08,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE21,2018,2.66,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE22,2018,20.01,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE23,2018,22.19,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE24,2018,37.11,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE25,2018,35.13,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE31,2018,24.53,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE32,2018,67.27,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE33,2018,25.49,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE34,2018,14.94,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BE35,2018,73.71,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG31,2018,102.19,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG32,2018,91.02,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG33,2018,88.29,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG34,2018,112.35,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG41,2018,16.52,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,BG42,2018,38.33,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH01,2018,32.61,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH02,2018,75.50,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH03,2018,24.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH04,2018,16.79,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH05,2018,19.61,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH06,2018,14.42,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CH07,2018,0.12,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ01,2018,7.20,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ02,2018,305.05,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ03,2018,285.64,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ04,2018,109.42,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ05,2018,207.88,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ06,2018,379.81,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ07,2018,231.93,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,CZ08,2018,79.10,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,DK01,2018,91.33,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,DK02,2018,733.37,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,DK03,2018,956.94,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,DK04,2018,1111.13,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,DK05,2018,552.50,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL30,2018,0.82,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL41,2018,0.41,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL42,2018,4.92,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL43,2018,0.60,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL51,2018,29.98,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL52,2018,95.53,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL53,2018,47.11,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL54,2018,0.65,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL61,2018,110.55,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL62,2018,0.24,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL63,2018,2.79,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL64,2018,45.30,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,EL65,2018,5.71,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES11,2018,1.22,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES12,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES13,2018,0.20,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES21,2018,60.35,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES22,2018,349.93,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES23,2018,91.15,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES24,2018,1608.13,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1300,PR_HU_EU,ES30,2018,161.76,
