DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT11,2018,168.56,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT12,2018,725.23,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT13,2018,5.22,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT21,2018,18.99,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT22,2018,49.72,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT31,2018,305.63,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT32,2018,1.62,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT33,2018,0.70,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,AT34,2018,0.52,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE10,2018,6.29,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE21,2018,8.23,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE22,2018,74.02,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE23,2018,103.08,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE24,2018,144.16,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE25,2018,198.49,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE31,2018,170.63,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE32,2018,455.22,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE33,2018,202.70,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE34,2018,33.70,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BE35,2018,265.34,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG31,2018,1352.56,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG32,2018,1254.04,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG33,2018,1594.21,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG34,2018,1067.38,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG41,2018,167.15,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,BG42,2018,458.19,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH01,2018,136.15,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH02,2018,173.44,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH03,2018,60.05,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH04,2018,47.77,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH05,2018,57.08,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH06,2018,27.11,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CH07,2018,1.24,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CZ01,2018,21.55,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CZ02,2018,928.66,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1110,PR_HU_EU,CZ03,2018,770.11,
