DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT11,2018,167.61,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT12,2018,719.64,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT13,2018,5.19,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT21,2018,17.49,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT22,2018,47.73,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT31,2018,303.61,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT32,2018,1.56,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT33,2018,0.57,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,AT34,2018,0.51,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE10,2018,6.29,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE21,2018,7.91,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE22,2018,73.60,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE23,2018,102.50,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE24,2018,143.58,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE25,2018,198.07,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE31,2018,170.38,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE32,2018,453.52,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE33,2018,201.81,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE34,2018,32.90,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BE35,2018,264.51,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG31,2018,1352.56,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG32,2018,1254.04,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG33,2018,1594.21,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG34,2018,1067.38,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG41,2018,167.15,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,BG42,2018,458.19,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,CH01,2018,135.45,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,CH02,2018,171.77,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,CH03,2018,59.71,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C1111,PR_HU_EU,CH04,2018,47.32,
