DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT11,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT12,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT13,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT21,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT22,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT31,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT32,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT33,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,AT34,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,ATZZ,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE10,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE21,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE22,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE23,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE24,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE25,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE31,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE32,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE33,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE34,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BE35,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,BEZZ,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH01,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH02,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH03,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH04,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH05,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH06,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CH07,2018,0.43,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CY00,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CYZZ,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ01,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ02,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ03,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ04,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ05,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ06,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ07,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZ08,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,C2000,PR_HU_EU,CZZZ,2018,0.00,
