DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT11,2018,207.47,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT12,2018,1488.65,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT13,2018,12.81,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT21,2018,0.87,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT22,2018,14.97,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT31,2018,425.44,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT32,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT33,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,AT34,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE10,2018,19.28,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE21,2018,32.98,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE22,2018,362.55,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE23,2018,226.58,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE24,2018,424.04,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE25,2018,528.95,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE31,2018,692.92,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE32,2018,1508.74,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE33,2018,707.08,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE34,2018,3.96,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BE35,2018,684.96,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,BGZZ,2018,0.00,n
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH01,2018,348.69,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH02,2018,428.73,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH03,2018,87.56,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH04,2018,182.44,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH05,2018,208.15,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH06,2018,7.89,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CH07,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CY00,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CYZZ,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ01,2018,18.11,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ02,2018,1024.29,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ03,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ04,2018,238.61,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ05,2018,920.62,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ06,2018,288.27,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ07,2018,830.88,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,CZ08,2018,403.54,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,DK01,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,DK02,2018,2060.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,DK03,2018,47.60,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,DK04,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,DK05,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EEZZ,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL30,2018,0.01,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL41,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL42,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL43,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL51,2018,10.36,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL52,2018,20.69,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL53,2018,11.65,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL54,2018,0.70,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL61,2018,20.51,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL62,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL63,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL64,2018,0.35,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,EL65,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES11,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES12,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES13,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES21,2018,111.27,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES22,2018,39.87,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES23,2018,111.66,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES24,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES30,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES41,2018,1908.14,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES42,2018,0.63,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES43,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES51,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES52,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES53,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES61,2018,699.34,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES62,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES63,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES64,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,ES70,2018,0.00,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,FI19,2018,151.50,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,FI1B,2018,7.90,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,FI1C,2018,187.20,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,FI1D,2018,3.50,
ESTAT:APRO_CPSHR(1.0),19/04/24 23:00:00,A,R2000,PR_HU_EU,FI20,2018,0.00,
